,Treatment,Timestamp,ODmean,ODsd,ODcount,ElapsedTime,OD2mean,OD2sd,ODse,OD2se,Temp,RPM,Volume,Media,pH,Col,pch,InoculationDate,ExpName
1,AntarcticWater,11/18/19 19:13,0.029666667,0.00057735,3,0,0.029666667,0.00057735,0.000333333,0.000333333,70,200,125,Brock,3,cyan3,16,20191118,YZ Saci Exp
2,AntarcticWater,11/19/19 10:11,0.177333333,0.006658328,3,14.96666667,0.177333333,0.006658328,0.003844188,0.003844188,70,200,125,Brock,3,cyan3,16,20191118,YZ Saci Exp
3,AntarcticWater,11/19/19 20:15,0.386333333,0.016165808,3,25.03333333,0.386333333,0.016165808,0.009333333,0.009333333,70,200,125,Brock,3,cyan3,16,20191118,YZ Saci Exp
4,AntarcticWater,11/20/19 11:17,0.721666667,0.008504901,3,40.06666667,0.721666667,0.008504901,0.004910307,0.004910307,70,200,125,Brock,3,cyan3,16,20191118,YZ Saci Exp
9,LabWater,11/18/19 19:13,0.033,0.001732051,3,0,0.033,0.001732051,0.001,0.001,70,200,125,Brock,3,black,16,20191118,YZ Saci Exp
10,LabWater,11/19/19 10:11,0.115333333,0.00057735,3,14.96666667,0.115333333,0.00057735,0.000333333,0.000333333,70,200,125,Brock,3,black,16,20191118,YZ Saci Exp
11,LabWater,11/19/19 20:15,0.244333333,0.003785939,3,25.03333333,0.244333333,0.003785939,0.002185813,0.002185813,70,200,125,Brock,3,black,16,20191118,YZ Saci Exp
12,LabWater,11/20/19 11:17,0.578666667,0.008082904,3,40.06666667,0.578666667,0.008082904,0.004666667,0.004666667,70,200,125,Brock,3,black,16,20191118,YZ Saci Exp
13,LabWater,11/20/19 17:30,0.683333333,0.005033223,3,46.28333333,0.683333333,0.005033223,0.002905933,0.002905933,70,200,125,Brock,3,black,16,20191118,YZ Saci Exp
29,SpikedWater,11/18/19 19:13,0.030666667,0.00057735,3,0,0.030666667,0.00057735,0.000333333,0.000333333,70,200,125,Brock,3,deeppink2,16,20191118,YZ Saci Exp
30,SpikedWater,11/19/19 10:11,0.112666667,0.00057735,3,14.96666667,0.112666667,0.00057735,0.000333333,0.000333333,70,200,125,Brock,3,deeppink2,16,20191118,YZ Saci Exp
31,SpikedWater,11/19/19 20:15,0.24,0.001732051,3,25.03333333,0.24,0.001732051,0.001,0.001,70,200,125,Brock,3,deeppink2,16,20191118,YZ Saci Exp
32,SpikedWater,11/20/19 11:17,0.54,0.004,3,40.06666667,0.54,0.004,0.002309401,0.002309401,70,200,125,Brock,3,deeppink2,16,20191118,YZ Saci Exp
33,SpikedWater,11/20/19 17:30,0.649666667,0.008386497,3,46.28333333,0.649666667,0.008386497,0.004841946,0.004841946,70,200,125,Brock,3,deeppink2,16,20191118,YZ Saci Exp