"Index","ExpType","WaterLabel","ExpType2","Treatment","UniqueID","Treatment_Rep","Replicate","Organism","Cultivation","Experimentor","Temp","RPM","pH","DO","Volume_mL","Media","Energy_Source","GrowthRate","DoublingTime","r","Intercept","StartingObs","NumberObs","SacrificeOD","IncubationHours","InoculationDate","ExpName","Substrate_d2H","Water_d2H","Water_d2H_error","n_analyses","BP0_relAbun_mean","BP1_relAbun_mean","BP2_relAbun_mean","BP3_relAbun_mean","BP0_relAbun_error","BP1_relAbun_error","BP2_relAbun_error","BP3_relAbun_error","RingIndex_BP","BP0_d2H_mean","BP1_d2H_mean","BP2_d2H_mean","BP3_d2H_mean","BP0_d2H_error","BP1_d2H_error","BP2_d2H_error","BP3_d2H_error","d2H_wt_BP0123","d2H_wt_BP012","BP0_eps_LW_mean","BP1_eps_LW_mean","BP2_eps_LW_mean","BP3_eps_LW_mean","BP0_eps_LW_error","BP1_eps_LW_error","BP2_eps_LW_error","BP3_eps_LW_error","EpsLW_wt_BP0123","EpsLW_wt_BP012","RingIndex_GDGT","GDGT0_RelAbun","GDGT1_RelAbun","GDGT2_RelAbun","GDGT3_RelAbun","GDGT4_RelAbun","GDGT5_RelAbun","GDGT6_RelAbun","GDGT7_RelAbun","GDGT8_RelAbun","pch","Col","d2H_wt_mean","d2H_wt_mean_sd","EpsLW_wt_mean","Wt_mean_Eps_sd","RingIndex_BP_error","RingDiff_BP1","RingDiff_BP2","RingDiff_BP3","RingDiff_all","RingDiff_BP1_error","RingDiff_BP2_error","RingDiff_BP3_error","RingDiff_all_error","RingEnrichBP1","RingEnrichBP2","RingEnrichBP3","Col_exp","pch_exp"
36,"Enviro",NA,"RPM","RPM_50","Saci_70_50_3_Rep1","RPM_50_Rep1","Rep1","Saci","Batch","YZ",70,50,3,NA,125,"Brock","Sucrose",0.01993,34.7722448917731,0.99989,-2.99864,1,3,0.234,119.933333333333,20190406,"Saci Enviro Experiments",-93,-47.5710757500434,0.1,3,0.216282029770437,0.35313310227645,0.410211724944215,0.0203731430088988,0.00658678579414435,0.0152431384792752,0.00639745637602863,0.00342359841079206,1.23467598119158,-230.161123315377,-227.239499370326,-231.581580779103,-222.034896155415,3.26918610646216,5.10830533489513,4.11271002886961,34.4099855408708,-229.546532706328,-229.702751009849,-191.709893427611,-188.642342799251,-193.201298641753,-183.177784675915,3.43666650336122,5.36615586860365,4.32145027700123,36.1290721607801,-191.064605791547,-191.228626748432,2.787860161,1.002837,6.0366253,33.3116721,34.8028041,22.5706884,2.2173579,0.0580152,0,0,21,"black",-229.546532706328,6.52592830750977,-191.064605791547,6.52669443706057,0.0223953633088753,3.06755062835995,-2.65232922478643,5.19994309269081,2.22712024280992,6.37230770298127,3.71119804075191,14.1572827134552,9.86291503649524,2.92162394505101,-1.420457463726,8.12622715996201,"blueviolet",23
37,"Enviro",NA,"RPM","RPM_50","Saci_70_50_3_Rep2","RPM_50_Rep2","Rep2","Saci","Batch","YZ",70,50,3,NA,125,"Brock","Sucrose",0.02074,33.4219170608908,0.99712,-3.04222,1,3,0.218,119.933333333333,20190406,"Saci Enviro Experiments",-93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.832462255,0.929273,5.7773071,32.3828094,33.4827879,24.9520284,2.4079429,0.0678513,0,0,21,"black",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"blueviolet",23
38,"Enviro",NA,"RPM","RPM_50","Saci_70_50_3_Rep3","RPM_50_Rep3","Rep3","Saci","Batch","YZ",70,50,3,NA,125,"Brock","Sucrose",0.02173,31.9012774098702,0.99918,-3.02796,1,3,0.212,119.933333333333,20190406,"Saci Enviro Experiments",-93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.777342129,1.121958,6.6382667,33.1238037,33.8549659,23.0791659,2.1242613,0.0575785,0,0,21,"black",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"blueviolet",23
39,"Enviro",NA,"RPM","RPM_50","Saci_70_50_3_Rep4","RPM_50_Rep4","Rep4","Saci","Batch","YZ",70,50,3,NA,125,"Brock","Sucrose",0.02248,30.8277663537752,0.97714,-2.98906,1,3,0.226,119.933333333333,20190406,"Saci Enviro Experiments",-93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.768037167,1.1102771,6.83905,32.9339245,34.3653034,22.802907,1.9019491,0.046589,0,0,21,"black",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"blueviolet",23
40,"Enviro",NA,"RPM","RPM_50","Saci_70_50_3_Rep5","RPM_50_Rep5","Rep5","Saci","Batch","YZ",70,50,3,NA,125,"Brock","Sucrose",0.02111,32.8409607144883,0.99474,-2.93533,1,3,0.212,119.933333333333,20190406,"Saci Enviro Experiments",-93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.770258675,1.2157466,6.4479586,33.4734434,34.1429916,22.4532833,2.2105449,0.0560316,0,0,21,"black",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"blueviolet",23
41,"Enviro",NA,"RPM","RPM_125","Saci_70_125_3_Rep1","RPM_125_Rep1","Rep1","Saci","Batch","YZ",70,125,3,NA,125,"Brock","Sucrose",0.0838,8.27145669671847,0.96216,-3.53204,3,3,0.752,55.4166666666667,20190405,"Saci Enviro Experiments",-93,-46.3280193923118,0.1,8,0.0690600535863194,0.180311631992884,0.696497095621709,0.0541312187990874,0.00405244122897028,0.00807152708241224,0.0137788783449216,0.00373108810938687,1.73569947963356,-235.184032819258,-231.474241601274,-238.732005279628,-238.678636265675,11.8784308161174,7.13286263549,6.6453829629962,20.8013374263752,-237.175433968158,-237.089407053978,-198.030368163491,-194.140360599653,-201.750696046155,-201.694734441915,12.4566034279846,7.48127599781035,6.97021675150684,21.8124791134055,-200.118508729004,-200.028302750502,2.073352262,8.2683828,21.9837916,35.2524692,23.8100777,10.0426921,0.6100249,0.0325617,0,0,21,"black",-237.175433968158,8.54976875525697,-200.118508729004,8.5503535463961,0.0308199394798041,3.8900075638376,-4.7352496939167,-1.64756024767766,-1.75386209450479,14.5305354174404,6.23480422205994,8.99019398499827,6.65802638226841,3.70979121798399,-3.54797246037,-3.49460344641702,"blueviolet",23
42,"Enviro",NA,"RPM","RPM_125","Saci_70_125_3_Rep2","RPM_125_Rep2","Rep2","Saci","Batch","YZ",70,125,3,NA,125,"Brock","Sucrose",0.08281,8.36986491135592,0.96501,-3.57322,3,3,0.73,55.4166666666667,20190405,"Saci Enviro Experiments",-93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.986409166,9.2384945,23.8194365,35.7566058,22.0245413,8.5977353,0.5354162,0.0277704,0,0,21,"black",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"blueviolet",23
43,"Enviro",NA,"RPM","RPM_125","Saci_70_125_3_Rep3","RPM_125_Rep3","Rep3","Saci","Batch","YZ",70,125,3,NA,125,"Brock","Sucrose",0.07909,8.7639968573695,0.95921,-3.43102,3,3,0.716,55.4166666666667,20190405,"Saci Enviro Experiments",-93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.92597909,10.4217489,24.4032066,36.0373425,20.9797564,7.6357338,0.4954572,0.0267545,0,0,21,"black",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"blueviolet",23
44,"Enviro",NA,"RPM","RPM_125","Saci_70_125_3_Rep4","RPM_125_Rep4","Rep4","Saci","Batch","YZ",70,125,3,NA,125,"Brock","Sucrose",0.07418,9.34475019178547,0.97429,-3.32702,3,3,0.728,55.4166666666667,20190405,"Saci Enviro Experiments",-93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.038194095,8.2733182,22.622276,36.6023985,22.676338,9.1972669,0.5961601,0.0322424,0,0,21,"black",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"blueviolet",23
45,"Enviro",NA,"RPM","RPM_125","Saci_70_125_3_Rep5","RPM_125_Rep5","Rep5","Saci","Batch","YZ",70,125,3,NA,125,"Brock","Sucrose",0.07417,9.3459126839551,0.96338,-3.21905,2,3,0.727,55.4166666666667,20190405,"Saci Enviro Experiments",-93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.996377619,9.4859076,23.2192378,35.7084874,21.9833311,8.9956324,0.5753946,0.0320089,0,0,21,"black",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"blueviolet",23
46,"Enviro",NA,"RPM","RPM_300","Saci_70_300_3_Rep1","RPM_300_Rep1","Rep1","Saci","Batch","YZ",70,300,3,NA,125,"Brock","Sucrose",0.07482,9.26453745629452,0.99078,-2.81311,1,3,0.631,37.8666666666667,20190423,"Saci Enviro Experiments",-93,-46.9495475711776,0.1,5,0.0707679846498764,0.194029941766314,0.67585288738839,0.0593491861954198,0.0029332308535739,0.00504438987008937,0.00589401854800006,0.00174595105864269,1.72378327512935,-238.404665784901,-239.892941691365,-244.141141285887,-254.00019350147,6.46278515399808,4.55035075720528,2.07443905188149,12.7205396186617,-243.496031281405,-242.833284308483,-200.886655817439,-202.448247759053,-206.905723838829,-217.250456576176,6.78323064424253,4.77744453763315,2.1829846303372,13.3481945984339,-206.228834170672,-205.533438694773,2.891834261,1.4885192,6.7852374,30.2106411,32.4723524,21.3433181,7.0130133,0.6869184,0,0,21,"black",-243.496031281405,4.41420020904534,-206.228834170672,4.4153327717779,0.0138505882052249,-1.56159194161356,-3.73350504523594,-7.73347913293999,-5.37150657181757,8.29675805861252,3.17347633415507,5.35515227267772,3.94449118964293,-1.488275906464,-5.73647550098599,-15.595527716569,"blueviolet",23
47,"Enviro",NA,"RPM","RPM_300","Saci_70_300_3_Rep2","RPM_300_Rep2","Rep2","Saci","Batch","YZ",70,300,3,NA,125,"Brock","Sucrose",0.07236,9.57899641728499,0.99419,-2.78953,1,3,0.617,37.8666666666667,20190423,"Saci Enviro Experiments",-93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.95307667,1.4642453,5.9702388,28.733586,33.3036861,21.5159779,8.1783091,0.8339568,0,0,21,"black",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"blueviolet",23
48,"Enviro",NA,"RPM","RPM_300","Saci_70_300_3_Rep3","RPM_300_Rep3","Rep3","Saci","Batch","YZ",70,300,3,NA,125,"Brock","Sucrose",0.07748,8.94645626441167,0.99317,-2.80956,1,3,0.654,37.8666666666667,20190423,"Saci Enviro Experiments",-93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.991748021,1.2289453,5.5659986,28.129054,33.5423638,21.8445923,8.7890411,0.9000049,0,0,21,"black",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"blueviolet",23
49,"Enviro",NA,"RPM","RPM_300","Saci_70_300_3_Rep4","RPM_300_Rep4","Rep4","Saci","Batch","YZ",70,300,3,NA,125,"Brock","Sucrose",0.0738,9.39203802765211,0.9878,-2.81756,1,3,0.62,37.8666666666667,20190423,"Saci Enviro Experiments",-93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.936218481,1.4230211,5.7831827,29.6686715,33.5019178,20.9472365,7.8491988,0.8267715,0,0,21,"black",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"blueviolet",23
50,"Enviro",NA,"RPM","RPM_300","Saci_70_300_3_Rep5","RPM_300_Rep5","Rep5","Saci","Batch","YZ",70,300,3,NA,125,"Brock","Sucrose",0.07613,9.10523100680812,0.98801,-2.80238,1,3,0.621,37.8666666666667,20190423,"Saci Enviro Experiments",-93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.919157898,1.4197572,6.1485858,29.8018266,33.3722785,20.982543,7.5335101,0.7414988,0,0,21,"black",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"blueviolet",23
